nama_menu,harga_menu,kategori_course,profil_rasa,nama_restoran,link_restoran,alamat,link_alamat
Tahu Tausi,25000,Appetizer,asin gurih  tahu,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Tahu Cah Pokcay,28000,Appetizer,asin gurih  tahu  sayur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Capcay Kuah Seafood,40000,Main Course,asin gurih   ikan udang  sayur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Nasi goreng Special,30000,Main Course,asin gurih  nasi  ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Nasi goreng Seafood,30000,Main Course,asin gurih  nasi  ikan udang ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Nasi goreng Kambing,30000,Main Course,asin gurih  nasi  kambing,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Nasi Goreng Baso,26600,Main Course,asin gurih  nasi  bakso,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Nasi Goreng Teri Medan,26600,Main Course,asin gurih nasi  ikan,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Nasi Goreng Sapi,30000,Main Course,asin gurih  nasi  sapi,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Nasi Goreng Pete,30000,Main Course,asin gurih khas pete nasi ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
